open,high,low,close,barSize,date
123.615,123.6325,123.5375,123.5475,MIN_15,2015-06-15 19:30:00
123.5475,123.5925,123.5125,123.5275,MIN_15,2015-06-15 19:45:00
123.5275,123.5525,123.5075,123.5425,MIN_15,2015-06-15 20:00:00
123.5425,123.5775,123.5375,123.555,MIN_15,2015-06-15 20:15:00
123.555,123.5925,123.5525,123.5725,MIN_15,2015-06-15 20:30:00
123.5725,123.5825,123.5475,123.5475,MIN_15,2015-06-15 20:45:00
123.5475,123.575,123.525,123.565,MIN_15,2015-06-15 21:00:00
123.565,123.5925,123.5575,123.5875,MIN_15,2015-06-15 21:15:00
123.5875,123.5875,123.5675,123.5825,MIN_15,2015-06-15 21:30:00
123.5825,123.5825,123.5525,123.5725,MIN_15,2015-06-15 21:45:00
123.5725,123.58,123.545,123.5725,MIN_15,2015-06-15 22:00:00
123.5725,123.6325,123.5475,123.6025,MIN_15,2015-06-15 22:15:00
123.6025,123.6175,123.5675,123.585,MIN_15,2015-06-15 22:30:00
123.585,123.5875,123.5675,123.5825,MIN_15,2015-06-15 22:45:00
123.5825,123.61,123.5525,123.6075,MIN_15,2015-06-15 23:00:00
123.6075,123.645,123.59,123.6175,MIN_15,2015-06-15 23:15:00
123.6175,123.6275,123.5625,123.585,MIN_15,2015-06-15 23:30:00
123.585,123.6275,123.5675,123.6075,MIN_15,2015-06-15 23:45:00
123.6075,123.6225,123.5425,123.5525,MIN_15,2015-06-16 00:00:00
123.5525,123.585,123.5425,123.5625,MIN_15,2015-06-16 00:15:00
123.5625,123.5825,123.4825,123.5275,MIN_15,2015-06-16 00:30:00
123.5275,123.5275,123.4025,123.4875,MIN_15,2015-06-16 00:45:00
123.4875,123.5275,123.4675,123.5175,MIN_15,2015-06-16 01:00:00
123.5175,123.5575,123.5025,123.5325,MIN_15,2015-06-16 01:15:00
123.5325,123.5625,123.5175,123.5375,MIN_15,2015-06-16 01:30:00
123.5375,123.5875,123.5375,123.585,MIN_15,2015-06-16 01:45:00
123.585,123.5875,123.535,123.5375,MIN_15,2015-06-16 02:00:00
123.5375,123.5825,123.5125,123.5725,MIN_15,2015-06-16 02:15:00
123.5725,123.5875,123.54,123.5675,MIN_15,2015-06-16 02:30:00
123.5675,123.5725,123.5325,123.5425,MIN_15,2015-06-16 02:45:00
123.5425,123.5525,123.51,123.5175,MIN_15,2015-06-16 03:00:00
123.5175,123.54,123.4875,123.5225,MIN_15,2015-06-16 03:15:00
123.5225,123.5625,123.5075,123.5375,MIN_15,2015-06-16 03:30:00
123.5375,123.5525,123.515,123.535,MIN_15,2015-06-16 03:45:00
123.535,123.5575,123.5125,123.5225,MIN_15,2015-06-16 04:00:00
123.5225,123.5275,123.4725,123.4775,MIN_15,2015-06-16 04:15:00
123.4775,123.5025,123.4725,123.4875,MIN_15,2015-06-16 04:30:00
123.4875,123.5125,123.4575,123.4775,MIN_15,2015-06-16 04:45:00
123.4775,123.49,123.4125,123.43,MIN_15,2015-06-16 05:00:00
123.43,123.4625,123.3675,123.445,MIN_15,2015-06-16 05:15:00
123.445,123.445,123.3025,123.4275,MIN_15,2015-06-16 05:30:00
123.4275,123.4575,123.4025,123.4125,MIN_15,2015-06-16 05:45:00
123.4125,123.4375,123.3875,123.425,MIN_15,2015-06-16 06:00:00
123.425,123.4275,123.3925,123.4125,MIN_15,2015-06-16 06:15:00
123.4125,123.4725,123.3725,123.4275,MIN_15,2015-06-16 06:30:00
123.4275,123.4425,123.3775,123.3825,MIN_15,2015-06-16 06:45:00
123.3825,123.3825,123.2925,123.3425,MIN_15,2015-06-16 07:00:00
123.3425,123.4275,123.3425,123.4175,MIN_15,2015-06-16 07:15:00
123.4175,123.4425,123.3925,123.4175,MIN_15,2015-06-16 07:30:00
123.4175,123.4375,123.3975,123.4275,MIN_15,2015-06-16 07:45:00
123.4275,123.475,123.4225,123.4475,MIN_15,2015-06-16 08:00:00
123.4475,123.4475,123.3975,123.3975,MIN_15,2015-06-16 08:15:00
123.3975,123.4375,123.3925,123.415,MIN_15,2015-06-16 08:30:00
123.415,123.45,123.3875,123.395,MIN_15,2015-06-16 08:45:00
123.395,123.4125,123.37,123.3825,MIN_15,2015-06-16 09:00:00
123.3825,123.3975,123.3625,123.3775,MIN_15,2015-06-16 09:15:00
123.3775,123.4025,123.3625,123.3975,MIN_15,2015-06-16 09:30:00
123.3975,123.415,123.3825,123.4,MIN_15,2015-06-16 09:45:00
123.4,123.4025,123.3775,123.3975,MIN_15,2015-06-16 10:00:00
